"date","adm0_name","school_closure","travel_ban_optional","no_gathering","work_from_home","testing_regime","home_isolation","religious_closure","new_confirmed_cases","cum_confirmed_cases","new_deaths_national","cum_deaths"
2020-02-19,"IRN",0,0,0,0,0,0,0,2,2,2,2
2020-02-20,"IRN",0,0,0,0,0,0,0,3,5,0,2
2020-02-21,"IRN",0,0,0,0,0,0,0,13,18,2,4
2020-02-22,"IRN",0,0,1,0,0,0,0,10,28,2,6
2020-02-23,"IRN",0,0,1,0,0,0,0,15,43,2,8
2020-02-24,"IRN",0,0,1,0,0,0,0,18,61,4,12
2020-02-25,"IRN",0,0,1,0,0,0,0,34,95,3,15
2020-02-26,"IRN",0,0,1,0,0,0,0,44,139,4,19
2020-02-27,"IRN",0,0,1,0,0,0,0,106,245,7,26
2020-02-28,"IRN",0,0,1,0,0,0,0,143,388,8,34
2020-02-29,"IRN",0,0,1,0,0,0,0,205,593,9,43
2020-03-01,"IRN",0,1,1,0,0,0,0,385,978,11,54
2020-03-02,"IRN",0,1,1,0,0,0,0,523,1501,11,65
2020-03-03,"IRN",0,1,1,1,0,0,0,835,2336,11,76
2020-03-04,"IRN",0,1,1,1,0,0,0,586,2922,15,91
2020-03-05,"IRN",1,1,1,1,0,0,0,591,3513,15,106
2020-03-06,"IRN",1,1,1,1,0,0,0,1234,4747,17,123
2020-03-07,"IRN",1,1,1,1,0,0,0,1076,5823,21,144
2020-03-08,"IRN",1,1,1,1,0,0,0,743,6566,49,193
2020-03-09,"IRN",1,1,1,1,0,0,0,595,7161,43,236
2020-03-10,"IRN",1,1,1,1,0,0,0,881,8042,54,290
2020-03-11,"IRN",1,1,1,1,0,0,0,958,9000,63,353
2020-03-12,"IRN",1,1,1,1,0,0,0,1075,10075,75,428
2020-03-13,"IRN",1,1,1,1,1,1,0,1289,11364,85,513
2020-03-14,"IRN",1,1,1,1,1,1,0,1365,12729,97,610
2020-03-15,"IRN",1,1,1,1,1,1,0,1209,13938,113,723
2020-03-16,"IRN",1,1,1,1,1,1,0,1053,14991,129,852
2020-03-17,"IRN",1,1,1,1,1,1,0,1178,16169,135,987
2020-03-18,"IRN",1,1,1,1,1,1,0,1192,17361,147,1134
2020-03-19,"IRN",1,1,1,1,1,1,0,1046,18407,149,1283
2020-03-20,"IRN",1,1,1,1,1,1,0,1237,19644,149,1432
2020-03-21,"IRN",1,1,1,1,1,1,0,966,20610,123,1555
2020-03-22,"IRN",1,1,1,1,1,1,0,1028,21638,129,1684
