adm1_name,cumulative_confirmed_cases,datetime_update,date,datetime_download,adm0_name
Auvergne-Rhône-Alpes,1431,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
Bourgogne-Franche-Comté,1178,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
Bretagne,397,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
Centre-Val de Loire,291,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
Corse,183,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
Grand Est,3395,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
Hauts-de-France,936,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
Ile-de-France,5283,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
Normandie,462,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
Nouvelle-Aquitaine,612,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
Occitanie,671,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
Pays de la Loire,270,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
Provence-Alpes-Côte d’Azur,1372,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
Total Métropole,15810,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
Guadeloupe,58,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
Saint-Barthélémy,3,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
Saint-Martin,6,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
Guyane,19,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
Martinique,44,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
Mayotte,14,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
La Réunion,64,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
Total Outre Mer,208,2020-03-22T14:00:00Z,2020-03-22,2020-03-22T21:51:51Z,France
