t,y_actual_NewYork,lb_y_actual_NewYork,ub_y_actual_NewYork,y_counter_NewYork,lb_counter_NewYork,ub_counter_NewYork
05mar2020,.4505128,.3029034,.5981221,.8328136,0,1.818946
06mar2020,.4505128,.3029034,.5981221,.8328136,0,1.818946
07mar2020,.4505128,.3029034,.5981221,.8328136,0,1.818946
08mar2020,.4505128,.3029034,.5981221,.8328136,0,1.818946
09mar2020,.4505128,.3029034,.5981221,.8328136,0,1.818946
10mar2020,.4505128,.3029034,.5981221,.8328136,0,1.818946
11mar2020,.2247723,0,.5214353,.8328136,0,1.818946
12mar2020,.5119863,.2549467,.7690259,.8328136,0,1.818946
13mar2020,.2588077,0,.6321823,.6144904,0,1.622495
14mar2020,.2580297,.0488618,.4671976,.8328136,0,1.818946
15mar2020,.2580297,.0488618,.4671976,.8328136,0,1.818946
16mar2020,.3473363,.1107074,.5839652,.8328136,0,1.818946
17mar2020,.3727224,.1531237,.5923212,.8328136,0,1.818946
18mar2020,.7199006,.3588831,1.080918,.8328136,0,1.818946
19mar2020,.5337422,.2109522,.8565322,.8328136,0,1.818946
20mar2020,.4117736,.1586421,.664905,.8328136,0,1.818946
21mar2020,.4117736,.1586421,.664905,.8328136,0,1.818946
22mar2020,.178469,.0608359,.2961021,.8328136,0,1.818946
23mar2020,.178469,.0608359,.2961021,.8328136,0,1.818946
24mar2020,.178469,.0608359,.2961021,.8328136,0,1.818946
25mar2020,.178469,.0608359,.2961021,.8328136,0,1.818946
26mar2020,.178469,.0608359,.2961021,.8328136,0,1.818946
27mar2020,.178469,.0608359,.2961021,.8328136,0,1.818946
28mar2020,.178469,.0608359,.2961021,.8328136,0,1.818946
29mar2020,.178469,.0608359,.2961021,.8328136,0,1.818946
30mar2020,.178469,.0608359,.2961021,.8328136,0,1.818946
31mar2020,.178469,.0608359,.2961021,.8328136,0,1.818946
01apr2020,.097853,0,.2493382,.8328136,0,1.818946
02apr2020,.097853,0,.2493382,.8328136,0,1.818946
03apr2020,.097853,0,.2493382,.8328136,0,1.818946
04apr2020,.097853,0,.2493382,.8328136,0,1.818946
05apr2020,.097853,0,.2493382,.8328136,0,1.818946
06apr2020,.097853,0,.2493382,.8328136,0,1.818946
